Report Month/Year,Fuel Type,Fuel Quantity (In Gallons)
11/01/2023,ETHANOL,672.83
09/01/2023,ETHANOL,301.18
12/01/2023,COMPRESSED NATURAL GAS (CNG),72931.57
08/01/2023,UNLEADED,172233.26
09/01/2023,DIESEL,224403.00
12/01/2023,DIESEL,207614.17
07/01/2023,DIESEL,234267.51
11/01/2023,UNLEADED,161482.18
08/01/2023,COMPRESSED NATURAL GAS (CNG),111748.66
08/01/2023,DIESEL,255627.71
10/01/2023,UNLEADED,170794.44
11/01/2023,DIESEL,250537.48
12/01/2023,ETHANOL,475.14
11/01/2023,COMPRESSED NATURAL GAS (CNG),98964.87
10/01/2023,COMPRESSED NATURAL GAS (CNG),111737.93
07/01/2023,ETHANOL,455.37
12/01/2023,UNLEADED,146036.84
09/01/2023,COMPRESSED NATURAL GAS (CNG),105660.50
08/01/2023,ETHANOL,329.41
07/01/2023,COMPRESSED NATURAL GAS (CNG),111632.24
10/01/2023,ETHANOL,350.36
10/01/2023,DIESEL,244410.37
09/01/2023,UNLEADED,159452.71
07/01/2023,UNLEADED,147348.70
